generated_index,hash,matched_split,matched_dataset_indices,num_dataset_matches
4029,1780756b1a676fa7a8b49ef497068373077f1014,train,15700,1
4066,43ef88476ed3f54b692f42ca92efabd1ec77c109,train,56740 56742,2
4072,fcdf0f833d3b8ca79099d479387ff3df0150a05e,train,80883,1
27,108935637bea4294eb736f1563837bf77261446e,val,58560 58567,2
64,b2b2789c06cd06850be294fb4cf1da1bb3761df2,val,45803,1
130,65b941e952754809db105bef9d91139bb235d2de,val,236 238,2
404,e27f24d3d55b78875f7e21f48264c388ee359bff,val,55828 55830,2
428,1c0fa49b13c738110529815804ced082fd4c47ca,val,2124 2126,2
488,98199e996c19a68493994a75e6e0c2b92d0ba2aa,val,86900 86902,2
731,fedfde024c21df1c11783dedc1dacee5831eb0e5,val,52099,1
1078,34d35405de99ed7c25cdc69031236906d81dcf22,val,90147,1
1207,501a49ee8c132459ec8513d92ade375d7e1b35d7,val,47072 49464 49471,3
1419,85f5a15257ddaf81079a1b8fa69aaa2b165ce053,val,81575,1
1541,0f4397455ebafed4bfc0098c17ef1651538abee8,val,80577,1
1737,dc110cdcf4493d7c2ab4d4c98180820499c880cb,val,78980 78982,2
2830,a0a9ab6a0777291747e4f62acab5cb2e35fb51fa,val,69096,1
3032,e27adb4e3e1a3e2a908a953939b978f69fae9c59,val,23244 23246,2
3506,6b77a8c2eb4c3f891080ae3f1f1d701234d519e5,val,71058,1
348,2b38b20be19423c060205d70657c52db84a7b095,test,35308,1
480,0035d6e5e016f29f0813ccfcb95e2baaeeaeae3e,test,58649,1
617,fb24ba899f5990c2d6146b0e950381b41f298af7,test,17208 17215,2
998,91718427ccf2f94bfbfa69ee58701e70111c4040,test,180 182,2
1000,475835c64e0ea6772049c7960ee8f0fe0285d029,test,9882,1
1014,96b0b2497bbb6960ee60828978e2939b74ac9ac7,test,13226,1
1543,5673a06bd5139e70e76589b2a37d8e980d965c6f,test,9851,1
1808,fc22873947c3207b2f2577335eca791572020451,test,184 191 90976,3
2132,79243c8027feb3073a3c054a84f113684f4a67f5,test,47362,1
2273,ad50f3dc1b1c65f928be85a9bf9163c26d3edc19,test,22427,1
2462,6f54d6991c4b9a70bce1df8362db4f5fc7373532,test,4900 4902,2
2643,ee7433e6b838f5dff74d133620d9a3969dd9eb20,test,75890,1
2646,00f7d533931a155989f95526c05ae6eb6e27ef06,test,69035,1
2703,8e2fd672bbbd7c28acae74ab7ec3c54c9709776f,test,65024,1
2915,d44bd13148ed5762fac916094860654e8b5d0cef,test,68113,1
3036,4d6887b68ec5d042ab48fcf55c29105ad8e67db4,test,46557,1
3204,b3cd8707de94a57ade7959b6c24da98c5a4b5c26,test,81323,1
